iter	Logloss
0	0.6333458296
1	0.5844509628
2	0.54348449
3	0.5095240731
4	0.4813698733
5	0.4572803511
6	0.4367028133
7	0.4185501809
8	0.4029659761
9	0.3899286429
10	0.3792017664
11	0.3693548334
12	0.3604716597
13	0.3531269546
14	0.3466102031
15	0.340749922
16	0.3361595387
17	0.3316163361
18	0.3285478891
19	0.3259589607
20	0.3236934014
21	0.3216536902
22	0.3196993457
23	0.3176045612
24	0.315627872
25	0.3138495461
26	0.3127678355
27	0.3112796518
28	0.3096337941
29	0.3091011023
30	0.3075033577
31	0.3069715092
32	0.3062971408
33	0.3056866506
34	0.3051388221
35	0.3047914264
36	0.3045490586
37	0.3034038441
38	0.3031222445
39	0.3027824307
40	0.3020188293
41	0.3013341293
42	0.3004668672
43	0.2996089594
44	0.2994442112
45	0.2992789054
46	0.2986554279
47	0.2984708303
48	0.2980071785
49	0.2976471976
50	0.2974763789
51	0.2967219022
52	0.2964385249
53	0.296242071
54	0.2957262722
55	0.2953716748
56	0.2952938248
57	0.2951205357
58	0.2949502447
59	0.2948773193
60	0.2946719072
61	0.2942288567
62	0.294110201
63	0.2940182986
64	0.2937592356
65	0.2936443201
66	0.293528501
67	0.2934887988
68	0.2930724044
69	0.2929730147
70	0.2923361695
71	0.2923203096
72	0.2923146244
73	0.2922509859
74	0.2915680631
75	0.2914589745
76	0.291389974
77	0.2908497197
78	0.2906521226
79	0.2904644096
80	0.290319196
81	0.2902679922
82	0.2902231493
83	0.2900903222
84	0.2900351457
85	0.2898585832
86	0.2897106412
87	0.2893165023
88	0.2889293127
89	0.2888488974
90	0.2887455513
91	0.288554324
92	0.2884450686
93	0.2883803377
94	0.2882762678
95	0.2882395624
96	0.2881553444
97	0.2881301396
98	0.2880261526
99	0.2879652487
