iter	Passed	Remaining
0	89	8889
1	177	8721
2	254	8216
3	357	8581
4	440	8377
5	527	8271
6	624	8302
7	745	8568
8	835	8452
9	930	8375
10	1004	8128
11	1097	8046
12	1184	7925
13	1318	8097
14	1424	8072
15	1529	8031
16	1653	8072
17	1742	7937
18	1816	7744
19	1914	7656
20	1996	7510
21	2081	7380
22	2169	7264
23	2239	7093
24	2309	6928
25	2366	6735
26	2409	6515
27	2477	6371
28	2587	6335
29	2675	6243
30	2770	6166
31	2845	6045
32	2920	5929
33	3010	5844
34	3100	5757
35	3151	5603
36	3234	5507
37	3295	5376
38	3384	5294
39	3457	5186
40	3521	5066
41	3588	4955
42	3656	4847
43	3714	4727
44	3814	4662
45	3873	4547
46	3933	4435
47	3996	4329
48	4059	4225
49	4124	4124
50	4193	4029
51	4279	3949
52	4334	3844
53	4393	3742
54	4455	3645
55	4528	3558
56	4589	3462
57	4657	3372
58	4722	3281
59	4798	3198
60	4872	3115
61	4968	3045
62	5058	2970
63	5131	2886
64	5206	2803
65	5262	2711
66	5328	2624
67	5398	2540
68	5451	2449
69	5521	2366
70	5583	2280
71	5621	2186
72	5660	2093
73	5713	2007
74	5760	1920
75	5813	1835
76	5869	1753
77	5929	1672
78	6005	1596
79	6075	1518
80	6119	1435
81	6177	1355
82	6265	1283
83	6349	1209
84	6410	1131
85	6463	1052
86	6522	974
87	6574	896
88	6625	818
89	6691	743
90	6774	670
91	6834	594
92	6888	518
93	6941	443
94	7011	369
95	7079	294
96	7145	221
97	7196	146
98	7245	73
99	7322	0
